pbindaff,Hydrophobic,Ent,PDB
6.95,-3.4127,0.6720,1tcx
5.15,-1.5250,0.1680,1thz
8.00,-2.3902,0.5040,1tkb
7.55,-2.1207,0.5460,1tlp
2.93,-0.7232,0.0420,1tng
3.37,-0.7999,0.0420,1tnh
4.00,-1.0997,0.1680,1tni
1.96,-1.0156,0.0840,1tnj
1.49,-1.2191,0.1260,1tnk
1.88,-1.0159,0.0420,1tnl
3.22,-1.1710,0.1260,1tog
8.30,-1.4219,0.2940,1tom
6.19,-1.6457,0.4200,1tq4
6.15,0.0708,0.0840,1tsl
4.05,-1.1150,0.3360,1tuf
6.85,-1.7591,0.0840,1tvo
4.60,-1.1634,0.0420,1tx7
7.74,-2.0802,0.3360,1txr
5.49,-1.3975,0.2520,1tys
5.85,-1.3382,0.0000,1u1w
4.22,-1.2673,0.2520,1ua4
5.22,-1.4743,0.4200,1ucn
9.30,-2.3018,0.3780,1udt
2.89,-0.7246,0.0840,1ugp
5.91,-1.2242,0.3780,1ugx
9.22,-2.0250,0.4200,1uho
7.06,-0.6408,0.0000,1ui0
3.05,-1.9396,0.2940,1uj5
3.05,-1.8503,0.3360,1uj6
4.21,-0.4477,0.2940,1ulg
6.55,-1.3995,1.1340,1umw
7.70,-1.4663,0.0840,1uou
4.60,-0.4093,0.0000,1upf
5.77,-2.1319,0.5460,1ur9
5.82,-1.5883,0.2520,1urg
7.74,-1.6036,0.1680,1usn
4.55,-2.3020,0.9660,1utc
3.84,-0.7469,0.0420,1utj
2.47,-0.7407,0.1260,1utl
3.01,-0.9642,0.0840,1utm
3.49,-1.0942,0.0420,1utn
2.27,-0.7285,0.0840,1uto
5.12,-1.7384,0.2520,1uv6
7.64,-2.3211,0.4200,1uvt
7.34,-1.5897,0.0420,1uw6
6.82,-1.5185,0.2940,1uwf
5.98,-1.4459,0.0840,1uwu
3.00,-0.5054,0.2520,1ux7
2.30,-0.4939,0.4200,1uxa
2.15,-0.5371,0.4200,1uxb
6.89,-1.4250,0.0420,1uz1
3.40,-1.2148,0.0420,1uz4
4.96,-1.8681,0.5460,1uz8
5.10,-1.2797,0.1680,1v0k
7.55,-1.3391,0.1680,1v0l
3.98,-1.9347,0.5040,1v11
4.82,-1.7031,0.0420,1v1j
3.94,-1.7452,0.5040,1v1m
3.25,-0.9605,0.0000,1v2j
6.19,-2.2422,0.1680,1v2k
4.29,-1.1375,0.0000,1v2l
5.90,-1.2263,0.0840,1v2n
4.13,-0.9128,0.4200,1v2q
3.55,-0.8539,0.4200,1v2r
4.17,-1.0402,0.0000,1v2s
4.71,-1.0091,0.4200,1v2t
3.37,-0.9669,0.0000,1v2u
4.01,-0.9953,0.4200,1v2w
7.55,-2.4467,0.6720,1vj9
7.70,-2.3364,0.4620,1vja
3.58,-1.0440,0.5880,1vjc
3.54,-1.5456,0.5880,1vjd
5.77,-0.9492,0.4200,1vjj
4.85,-1.8000,0.4200,1vkj
6.60,-1.3888,0.0000,1vot
5.63,-0.8208,0.5040,1vwl
5.82,-1.6552,0.3780,1vwn
8.05,-1.5734,0.6300,1vyf
8.00,-2.2730,0.5880,1vyg
5.30,-1.7503,0.3780,1vyq
6.42,-2.3574,0.5040,1w0y
6.52,-1.0849,0.6720,1w1d
7.68,-1.4038,0.8820,1w1g
4.57,-1.7266,0.0840,1w2g
6.32,-1.1856,0.0420,1w3j
6.28,-2.1076,0.4620,1w3l
5.22,-0.7930,0.2520,1w4o
4.74,-0.9591,0.2520,1w4p
5.26,-1.1019,0.2520,1w4q
8.15,-4.6100,0.7140,1w5v
8.80,-4.8359,0.7140,1w5w
8.40,-4.8985,0.7140,1w5x
8.48,-4.6298,0.7140,1w5y
5.36,-1.5346,0.0000,1w6y
5.10,-1.9714,0.5460,1w7g
8.40,-2.3752,0.5880,1w7x
0.49,-0.8183,0.0000,1w8l
1.60,-0.6639,0.1680,1w8m
8.41,-2.8568,0.2940,1w96
4.00,-0.8269,0.5880,1wc1
6.26,-1.8387,0.2100,1wcq
6.30,-1.2547,0.1680,1wdn
4.36,-0.6123,0.0000,1we2
9.00,-0.6211,0.0000,1wei
3.70,-1.2441,0.2100,1wht
0.82,-0.9560,0.2100,1wkm
6.30,-1.1335,0.0840,1wm1
9.55,-2.2876,0.4620,1ws1
3.00,-0.9745,0.1260,1ws4
3.03,-1.0284,0.1260,1ws5
4.46,-1.7236,0.5880,1wvc
6.73,-2.0185,0.1260,1wvj
8.77,-1.9452,0.0840,1x38
9.22,-1.9103,0.1680,1x39
2.21,-1.0241,0.0000,1x8d
6.96,-1.6462,0.0000,1x8j
6.12,-2.9105,0.4200,1x8r
7.80,-2.7856,0.4200,1x8t
3.96,-1.1436,0.3360,1x9d
8.70,-3.5054,0.0840,1xap
5.30,-0.8786,0.2940,1xbb
6.04,-1.8011,0.4620,1xbo
7.12,-2.9648,0.7560,1xd0
4.82,-1.2246,0.1680,1xff
4.68,-0.7323,0.0420,1xge
4.85,-1.1591,0.1260,1xgi
7.77,-3.1758,0.2940,1xh9
6.18,-1.7997,0.1680,1xhy
9.48,-2.7717,0.1260,1xjd
6.00,-0.7895,0.7980,1xk5
6.85,-1.1247,0.1260,1xk9
6.88,-2.1902,0.3360,1xka
8.52,-3.4564,0.5460,1xkk
7.08,-1.3381,0.3780,1xpz
6.34,-1.2136,0.3780,1xq0
6.85,-1.7417,0.0840,1xt8
10.22,-3.6647,0.2940,1xzx
9.00,-1.8925,0.2100,1y0l
3.08,-1.2647,0.0420,1y1z
5.32,-1.3570,0.0420,1y20
4.92,-1.1203,0.2520,1y2f
4.08,-1.0429,0.0840,1y2g
7.40,-2.1005,0.6720,1y3g
5.55,-0.6169,0.2100,1y3n
4.82,-0.8110,0.6300,1y3p
10.11,-2.4170,0.1680,1y6r
6.17,-1.2784,0.1260,1yc1
6.55,-1.5800,0.0840,1yc4
6.55,-1.3408,0.0420,1yda
8.24,-1.2588,0.0420,1ydb
7.07,-0.7773,0.0420,1ydd
5.89,-1.7619,0.7140,1ydk
5.52,-1.2651,0.0840,1ydr
5.92,-1.4311,0.2100,1yds
7.46,-2.2965,0.4200,1yei
7.46,-2.2332,0.5460,1yej
4.35,-0.7942,0.2520,1yfz
5.00,-0.2279,0.5880,1yid
2.96,-1.0937,0.0420,1ykp
8.14,-2.9489,0.2100,1yqj
7.62,-2.1358,0.2100,1yqy
6.40,-0.5910,0.0000,1yvm
8.40,-3.0196,0.3780,1z1h
9.22,-3.1044,0.4200,1z1r
3.94,-0.7802,0.2520,1z3t
4.11,-0.6649,0.2520,1z3v
4.52,-1.0805,0.2100,1z4n
4.52,-1.1874,0.2100,1z4o
9.72,-2.7625,0.2520,1z6e
4.34,-0.8196,0.2520,1z6s
9.18,-2.9301,0.3360,1z71
4.30,-3.0488,0.2940,1z95
5.64,-1.5497,0.2520,1z9g
5.74,-1.4669,0.2520,1zdp
5.34,-2.6583,0.2940,1zgi
6.52,-1.7818,0.2100,1zhy
6.25,-2.5941,0.0840,1zky
7.15,-1.5182,0.0840,1zog
7.00,-1.6038,0.0000,1zoh
8.77,-2.9183,0.7560,1zp8
8.40,-3.4566,0.8820,1zpa
9.92,-3.6432,0.9660,1zsf
9.82,-2.7397,0.9660,1zsr
3.40,-1.0552,0.0000,220l
1.01,-1.0252,0.1680,2a31
4.52,-0.7680,0.1260,2a4m
3.93,-1.3230,0.0840,2a5b
4.62,-1.5195,0.0840,2a5c
3.69,-1.4201,0.0840,2a8g
2.22,-1.0292,0.0000,2aac
13.00,-1.9721,0.0840,2ada
5.70,-1.6259,0.3780,2adm
7.74,-1.3560,0.0420,2adu
4.77,-0.5564,0.1260,2afw
5.15,-0.8665,0.0840,2afx
6.20,-1.0521,0.0840,2aj8
3.72,-1.4552,0.6300,2am4
4.44,-2.3736,0.7980,2amt
5.92,-1.0913,0.1260,2ans
4.89,-4.0355,1.3440,2aoc
5.66,-3.4798,1.3440,2aod
7.62,-3.5042,1.2600,2aoe
6.28,-3.4883,1.2600,2aog
9.32,-2.9609,0.8400,2aqu
8.13,-0.7891,0.2940,2arm
5.70,-3.2360,1.2600,2avm
8.85,-3.2586,0.5040,2avo
4.39,-3.2186,1.2600,2avq
7.57,-3.5052,0.5040,2avs
9.26,-3.3681,0.5040,2avv
6.43,-1.2610,0.4200,2b07
4.77,-1.3807,0.0840,2b4l
6.31,-1.4205,0.2520,2bal
6.89,-2.6580,0.6300,2bfq
5.25,-1.4800,0.4200,2bfr
3.70,-0.9393,0.0000,2bjm
5.62,-1.4696,0.3780,2bmk
3.70,-0.6401,0.2940,2bmz
4.61,-0.4794,0.2100,2bo4
8.52,-2.4898,0.1680,2boh
5.77,-0.7382,0.0840,2boj
7.67,-3.8075,0.4620,2bpv
7.40,-3.1735,0.5040,2bpy
7.05,-2.3597,0.2520,2bq7
8.05,-3.6911,0.5880,2bqv
5.14,-1.6956,0.3780,2br1
2.96,-0.7449,0.0000,2br6
5.66,-4.3076,1.2180,2bsu
6.19,-0.9057,0.0840,2bt9
6.00,-1.5179,0.2520,2bvd
8.55,-2.1426,0.6720,2byr
9.52,-2.4869,0.2520,2bys
2.80,-0.7070,0.0420,2bza
5.40,-2.5393,0.2520,2c1p
6.18,-1.2152,0.0000,2c3j
5.07,-1.1704,0.0000,2c3l
2.60,-1.1175,0.2100,2c4v
5.33,-2.0659,0.7140,2c80
5.68,-1.9473,0.5460,2c92
6.82,-1.9206,0.4620,2c94
6.14,-1.3929,0.3360,2c97
4.66,-1.4819,0.3780,2ca8
5.68,-1.4976,0.0000,2cbu
5.48,-1.2730,0.0000,2cbv
3.93,-0.9701,0.5880,2cbz
8.01,-0.7267,0.0000,2cc7
7.45,-1.1312,0.2100,2ccb
7.76,-0.6861,0.0000,2ccc
7.25,-1.4968,0.0420,2ces
4.70,-0.4313,0.1680,2cex
8.10,-2.2016,0.1680,2cf8
7.82,-2.4598,0.2520,2cf9
5.52,-1.3890,0.0840,2cht
8.22,-1.8669,0.2100,2cji
4.41,-1.8340,0.1680,2csn
8.15,-2.3779,0.7980,2d1n
6.89,-1.5208,0.0000,2dri
4.77,-0.6452,0.0000,2dua
4.70,-1.2776,0.1260,2dw7
7.22,-2.4450,1.2600,2er6
5.66,-1.9841,0.0840,2erz
6.60,-5.0761,1.7640,2euk
6.70,-2.1369,1.3860,2eum
6.70,-3.7392,1.4700,2evl
7.94,-2.0796,0.1260,2ewa
6.10,0.0469,0.2940,2ewb
4.36,0.2786,0.1260,2ez7
7.54,-2.0565,0.4200,2f1g
5.70,-2.3415,0.3780,2f2h
6.89,-0.6684,0.2100,2f34
5.40,-0.5691,0.2520,2f35
5.17,-2.7951,0.2520,2f5t
4.62,-1.5804,0.2940,2f6t
7.44,-1.2405,0.0840,2f7o
6.60,-1.4443,0.2100,2f7p
10.52,-2.1635,0.5880,2f81
8.70,-2.4736,0.5880,2f8g
7.26,-0.6402,0.0420,2f8i
8.21,-1.6608,0.0840,2ff1
7.34,-2.4261,0.6300,2fgi
9.18,-3.8599,0.5460,2fgu
6.12,-4.2155,0.5460,2fgv
2.92,0.1718,0.3780,2fkf
3.96,-0.6166,0.0000,2fpz
6.43,-1.1497,0.4200,2fqo
6.14,-1.4211,0.4200,2fqt
6.68,-1.6860,0.0840,2fqw
7.15,-1.6601,0.0840,2fqx
6.57,-1.5568,0.0840,2fqy
8.52,-2.2307,0.2940,2fvd
2.92,-1.1080,0.2100,2fw6
2.92,-1.1888,0.2100,2fwp
3.70,-0.9593,0.0000,2fx6
8.15,-2.9726,0.7140,2fxu
5.35,-1.6277,0.2520,2fxv
3.38,-1.5594,0.2520,2fzg
3.60,-1.0938,0.2940,2fzk
10.52,-2.8839,0.2520,2fzz
9.74,-2.4950,0.2940,2g00
13.00,-1.9662,0.2100,2gh7
4.82,-1.5001,0.0840,2gl0
6.07,-2.5195,0.5460,2gst
3.59,-1.7053,0.2520,2gsu
7.34,-1.3178,0.4200,2gv6
7.85,-1.7763,0.4620,2gv7
9.52,-2.3603,0.2940,2gvj
3.90,-1.4551,0.3360,2gvv
7.00,-1.0600,0.1260,2gyi
4.82,-2.5499,0.7980,2gzl
6.52,-1.9104,0.2520,2h4g
5.49,-1.7495,0.2520,2h4k
8.70,-1.1582,0.0420,2h4n
5.10,-1.0685,0.1680,2h5a
5.39,-1.2991,0.0840,2h6b
5.11,-2.6057,1.1760,2h6q
3.80,-1.2342,0.2100,2hb1
11.35,-3.0091,0.6300,2hb3
1.72,-0.3845,0.0420,2hdr
5.47,-2.2301,0.5880,2hf8
7.49,-2.4311,0.5880,2hh5
8.48,-2.9803,0.5880,2hs1
8.31,-2.8609,0.5880,2hs2
3.81,-1.1219,0.1680,2hu6
5.22,-0.8475,0.4620,2hxm
11.40,-2.5511,0.6300,2i0a
9.72,-2.2854,0.0420,2i0g
7.40,-1.8305,0.3780,2i3h
7.30,-1.8532,0.2100,2i3i
5.40,-2.2076,0.1680,2i80
8.49,-2.4181,0.0840,2ihq
5.45,-1.9995,0.2100,2iko
7.10,-3.6247,0.5460,2il2
5.55,-1.4216,0.1260,2iuz
6.43,-2.5348,0.3780,2ivu
6.00,-2.2074,0.2100,2izl
7.33,-1.9325,0.2100,2j2u
7.82,-1.7733,0.2100,2j34
5.41,-2.0328,0.1260,2j47
9.00,-2.5662,0.4200,2j4i
6.65,-1.3582,0.0420,2j75
5.96,-1.4591,0.0420,2j79
6.62,-1.2177,0.0420,2j7b
7.13,-1.6113,0.1680,2j7d
7.32,-1.5694,0.2100,2j7e
6.35,-1.5698,0.0420,2j7f
7.00,-1.2846,0.1260,2j7g
7.19,-1.3402,0.0420,2j7h
7.05,-3.0990,0.6300,2jxr
7.52,-1.5428,0.0840,2mas
5.54,-2.7741,0.7140,2olb
8.70,-1.7900,0.0840,2pcp
3.55,-0.3953,0.1680,2qwc
5.67,-1.7898,0.2520,2qwf
3.42,-1.1686,0.1680,2sim
5.89,-1.3902,0.2100,2tmn
4.15,-0.6683,0.0840,2toh
4.31,-2.0997,0.2520,2tpi
4.82,-1.1789,0.2100,2ypi
6.86,-2.7860,0.5880,3aid
6.72,-2.6879,0.5460,3gst
3.60,-1.2238,0.1680,3jdw
4.70,-0.8917,0.2100,3kiv
2.40,-1.1145,0.0000,3pcb
3.62,-0.9403,0.0000,3pcc
6.05,-1.0138,0.0000,3pcf
2.30,-1.3773,0.0840,3pcg
6.70,-1.2536,0.0000,3pck
3.66,-1.4277,0.0840,3pcn
8.82,-0.5797,0.5880,3tlh
9.77,-1.8617,0.3360,456c
6.62,-3.1774,0.8820,4er1
6.52,-4.1111,0.8400,4fiv
4.32,-0.7532,0.2520,4rsk
10.33,-2.3470,0.1260,4std
7.70,-3.7187,1.1760,4tmk
4.94,-1.3200,0.1260,4ts1
6.64,-1.7473,0.0420,5abp
6.57,-3.5869,1.2600,5er2
7.66,-1.1256,0.5880,5fiv
10.49,-3.1493,0.2100,5std
6.37,-1.2131,0.3360,5tln
8.04,-2.0331,0.6720,5tmn
7.47,-3.3240,1.2600,5tmp
3.26,-1.6551,0.0840,5yas
6.36,-1.2799,0.0000,6abp
11.52,-2.2343,0.6300,6cpa
8.08,-1.4375,0.5880,6fiv
3.21,-1.3871,0.2520,6tim
6.46,-1.6464,0.0000,7abp
9.62,-4.2476,1.1340,7hvp
10.72,-2.4474,0.1680,7std
8.49,-2.2948,0.2520,7upj
9.28,-1.9983,0.3360,830c
8.00,-1.9318,0.0420,8abp
7.64,-1.9304,0.3360,966c
8.00,-1.9566,0.0420,9abp
